"member_id","member_name","party","party_bloc","term","dwnom_1d"
"NPD75153","신장식","조국혁신당","rebuilding",22,-0.613109648227692
"TST4507I","안규백","더불어민주당","liberal",22,-0.173318922519684
"EB16073M","안도걸","더불어민주당","liberal",22,-0.125283852219582
"W8L9421K","안태준","더불어민주당","liberal",22,-0.302510350942612
"3OQ8273H","양문석","더불어민주당","liberal",22,-0.423942476511002
"CK143054","양부남","더불어민주당","liberal",22,-0.244460269808769
"8FB1535Y","어기구","더불어민주당","liberal",22,-0.262764990329742
"URX8075K","염태영","더불어민주당","liberal",22,-0.334078997373581
"OIA3741M","오기형","더불어민주당","liberal",22,-0.281841784715652
"BRU2690F","오세희","더불어민주당","liberal",22,-0.316286653280258
"GE71932C","용혜인","기본소득당","progressive",22,-0.742816746234894
"RQQ3807K","위성곤","더불어민주당","liberal",22,-0.402631849050522
"T9E37304","위성락","더불어민주당","liberal",22,-0.142256423830986
"GX38539O","유동수","더불어민주당","liberal",22,-0.139918774366379
"GP07421U","윤건영","더불어민주당","liberal",22,-0.298251748085022
"MQK9493H","윤종군","더불어민주당","liberal",22,-0.288709729909897
"3TP65086","윤종오","진보당","progressive",22,-0.663918077945709
"JC14718Q","윤준병","더불어민주당","liberal",22,-0.403068214654922
"O7R5461J","윤후덕","더불어민주당","liberal",22,-0.254432201385498
"AEO5706C","이강일","더불어민주당","liberal",22,-0.247190877795219
"7YC6702R","이건태","더불어민주당","liberal",22,-0.126554891467094
"W3U3344O","이기헌","더불어민주당","liberal",22,-0.364662528038025
"HFV52269","이병진","더불어민주당","liberal",22,-0.131722584366798
"WTR5885Y","이소영","더불어민주당","liberal",22,-0.385803401470184
"0R68099X","이수진","더불어민주당","liberal",22,-0.442749351263046
"EBH1101V","이연희","더불어민주당","liberal",22,-0.418681681156158
"9JF4562W","이용선","더불어민주당","liberal",22,-0.232295319437981
"6K79158C","이용우","더불어민주당","liberal",22,-0.447421312332153
"DAV7257X","이원택","더불어민주당","liberal",22,-0.184348568320274
"3ZR4438W","이인영","더불어민주당","liberal",22,-0.314034819602966
"IUD9392R","이재명","더불어민주당","liberal",22,-0.157516568899155
"O0I2045I","이정문","더불어민주당","liberal",22,-0.0965277776122093
"5762459L","이정헌","더불어민주당","liberal",22,-0.230877816677094
"WI719547","이주영","개혁신당","centrist",22,0.250181078910828
"V2R7430Z","이춘석","무소속","independent",22,-0.284712791442871
"K5F2023J","이학영","더불어민주당","liberal",22,-0.214856714010239
"0698755I","이해민","조국혁신당","rebuilding",22,-0.504324555397034
"CCU1009B","이해식","더불어민주당","liberal",22,-0.289762735366821
"2S73768V","이훈기","더불어민주당","liberal",22,-0.358491450548172
"CST4991F","임광현","더불어민주당","liberal",22,-0.147020787000656
"4T026790","임오경","더불어민주당","liberal",22,-0.158368721604347
"FH777496","임호선","더불어민주당","liberal",22,-0.358923047780991
"RPN2293B","장경태","더불어민주당","liberal",22,-0.14281177520752
"CIZ8557P","장종태","더불어민주당","liberal",22,-0.118798859417439
"TJW93720","전용기","더불어민주당","liberal",22,-0.306500256061554
"QUR40502","전진숙","더불어민주당","liberal",22,-0.392122238874435
"25G2571T","전현희","더불어민주당","liberal",22,-0.0791171044111252
"ARP89147","정동영","더불어민주당","liberal",22,-0.146304443478584
"V429892C","정성호","더불어민주당","liberal",22,-0.11838760226965
"NA61091D","정을호","더불어민주당","liberal",22,-0.144363656640053
"LT72093S","정일영","더불어민주당","liberal",22,-0.202062800526619
"IC499858","정준호","더불어민주당","liberal",22,-0.12444644421339
"9HE7226N","정진욱","더불어민주당","liberal",22,-0.307023942470551
"2385336L","정청래","더불어민주당","liberal",22,-0.108766660094261
"XG348314","정춘생","조국혁신당","rebuilding",22,-0.515737593173981
"BNV6535N","정혜경","진보당","progressive",22,-0.749491393566132
"8TU8443O","조계원","더불어민주당","liberal",22,-0.325690448284149
"T3E4932G","조국","조국혁신당","rebuilding",22,-0.394311934709549
"FYI20317","조승래","더불어민주당","liberal",22,-0.273553967475891
"ZKB18611","조인철","더불어민주당","liberal",22,-0.140473648905754
"IN328264","조정식","더불어민주당","liberal",22,-0.0718770176172256
"T465023H","주철현","더불어민주당","liberal",22,-0.148434147238731
"68P7228G","진선미","더불어민주당","liberal",22,-0.111969381570816
"3C23171A","진성준","더불어민주당","liberal",22,-0.457822978496552
"KNP22261","차규근","조국혁신당","rebuilding",22,-0.472936123609543
"RC885085","차지호","더불어민주당","liberal",22,-0.4422767162323
"1S05899F","채현일","더불어민주당","liberal",22,-0.145020768046379
"A494529E","천준호","더불어민주당","liberal",22,-0.237146332859993
"YGB8604T","천하람","개혁신당","centrist",22,0.290503919124603
"I5I2468R","최기상","더불어민주당","liberal",22,-0.284351289272308
"YS38221N","최민희","더불어민주당","liberal",22,-0.127772033214569
"URV1689Q","추미애","더불어민주당","liberal",22,-0.291771531105042
"8JG4358H","한민수","더불어민주당","liberal",22,-0.141074001789093
"H5476989","한병도","더불어민주당","liberal",22,-0.126744791865349
"XPP2564T","한정애","더불어민주당","liberal",22,-0.331746280193329
"T4I4862D","한창민","사회민주당","progressive",22,-0.754486083984375
"HHB5652A","허성무","더불어민주당","liberal",22,-0.331133961677551
"VCP96419","허종식","더불어민주당","liberal",22,-0.231017291545868
"RJH6314D","황명선","더불어민주당","liberal",22,-0.306488543748856
"0VU8517U","황희","더불어민주당","liberal",22,-0.113713897764683
"T2T8225E","강경숙","조국혁신당","rebuilding",22,-0.51340115070343
"NQO7187X","강선영","국민의힘","conservative",22,0.622420608997345
"7469929V","구자근","국민의힘","conservative",22,0.504517495632172
"LG63087O","권영세","국민의힘","conservative",22,0.479283452033997
"HE08888N","김기웅","국민의힘","conservative",22,0.48142272233963
"5K93695T","김승수","국민의힘","conservative",22,0.640327572822571
"HRG9655C","김희정","국민의힘","conservative",22,0.619945764541626
"OSV9142K","이만희","국민의힘","conservative",22,0.53189080953598
"PFG2137X","정희용","국민의힘","conservative",22,0.495059102773666
"L2I9861C","강대식","국민의힘","conservative",22,0.618465721607208
"9901388T","강명구","국민의힘","conservative",22,0.443467885255814
"GX22581L","강민국","국민의힘","conservative",22,0.654388546943665
"42K7317Y","강승규","국민의힘","conservative",22,0.540884673595428
"HS39431V","고동진","국민의힘","conservative",22,0.597435116767883
"REG96285","곽규택","국민의힘","conservative",22,0.56013834476471
"LYY5513O","권영진","국민의힘","conservative",22,0.391905128955841
"ANS8383S","김대식","국민의힘","conservative",22,0.500729084014893
"LH97552Q","김도읍","국민의힘","conservative",22,0.528881907463074
"3BC6890E","김미애","국민의힘","conservative",22,0.628774404525757
"TCP9838Y","김민전","국민의힘","conservative",22,0.779859125614166
"VDN5593C","김상욱","더불어민주당","liberal",22,0.0945997983217239
"1Y73132H","김상훈","국민의힘","conservative",22,0.484579592943192
"JNL7001A","김선교","국민의힘","conservative",22,0.603323936462402
"9D939735","김성원","국민의힘","conservative",22,0.521583080291748
"CNZ51556","김예지","국민의힘","conservative",22,0.509517192840576
"EPI69383","김용태","국민의힘","conservative",22,0.497725903987885
"LCZ1711I","김위상","국민의힘","conservative",22,0.440407872200012
"L5P27909","김은혜","국민의힘","conservative",22,0.670864939689636
"E1J8836Y","김정재","국민의힘","conservative",22,0.501155436038971
"N378078V","김종양","국민의힘","conservative",22,0.446354448795319
"JEZ3130Q","김형동","국민의힘","conservative",22,0.516944766044617
"SLW27496","나경원","국민의힘","conservative",22,0.61727786064148
"W4X85128","박대출","국민의힘","conservative",22,0.77417665719986
"N4R2421C","박덕흠","국민의힘","conservative",22,0.49088528752327
"VA04150X","박상웅","국민의힘","conservative",22,0.471394509077072
"X3170462","박성민","국민의힘","conservative",22,0.543892025947571
"NX534083","박성훈","국민의힘","conservative",22,0.718429028987885
"Y0X4618N","박수민","국민의힘","conservative",22,0.590048670768738
"6RD62559","박정하","국민의힘","conservative",22,0.532222628593445
"G6W8250J","박준태","국민의힘","conservative",22,0.552595317363739
"6U243644","박형수","국민의힘","conservative",22,0.474042803049088
"QQP4727N","배준영","국민의힘","conservative",22,0.572007417678833
"4X525582","배현진","국민의힘","conservative",22,0.596967279911041
"CAA7713A","백종헌","국민의힘","conservative",22,0.43975231051445
"QQ429063","서명옥","국민의힘","conservative",22,0.551648318767548
"L7J93733","서범수","국민의힘","conservative",22,0.443622171878815
"MR210505","서일준","국민의힘","conservative",22,0.54389500617981
"P7U7800Z","서지영","국민의힘","conservative",22,0.680210053920746
"JP222486","서천호","국민의힘","conservative",22,0.590422749519348
"PYA8594I","안상훈","국민의힘","conservative",22,0.547668218612671
"JZV5283U","유영하","국민의힘","conservative",22,0.550956845283508
