"member_id","member_name","party","party_bloc","term","wnom_1d","bridged_1d"
"8X15119P","윤한홍","국민의힘","conservative",20,0.94859790802002,0.94859790802002
"M0A1658U","윤호중","더불어민주당","liberal",20,-0.220639571547508,-0.220639571547508
"DBA1057Z","이용호","국민의힘","conservative",20,-0.349616020917892,-0.349616020917892
"16D7652C","이원욱","개혁신당","centrist",20,-0.35269421339035,-0.35269421339035
"WDS6044S","이채익","국민의힘","conservative",20,0.35764354467392,0.35764354467392
"TZP9391O","이철규","국민의힘","conservative",20,0.474736750125885,0.474736750125885
"QTW6852F","이태규","국민의힘","conservative",20,0.297571629285812,0.297571629285812
"EVH1507C","이헌승","국민의힘","conservative",20,0.500596940517426,0.500596940517426
"MBS2896E","이현재","무소속","independent",20,0.631580829620361,0.631580829620361
"UM51067K","인재근","더불어민주당","liberal",20,-0.387031555175781,-0.387031555175781
"E6U4345C","임종성","더불어민주당","liberal",20,-0.367964118719101,-0.367964118719101
"0AI7568W","장정숙","민생당","liberal_minor",20,-0.451794505119324,-0.451794505119324
"ARP89147","정동영","더불어민주당","liberal",20,-0.250620603561401,-0.250620603561401
"DCN7433W","정세균","더불어민주당","liberal",20,-0.178524419665337,-0.178524419665337
"0GF6251P","정유섭","미래통합당","conservative",20,0.446357905864716,0.446357905864716
"FYI20317","조승래","더불어민주당","liberal",20,-0.442970782518387,-0.442970782518387
"IN328264","조정식","더불어민주당","liberal",20,-0.198151156306267,-0.198151156306267
"GDN7894V","채이배","민생당","liberal_minor",20,0.271734297275543,0.271734297275543
"O8E1566L","최도자","민생당","liberal_minor",20,-0.249712646007538,-0.249712646007538
"16I8621J","최연혜","미래통합당","conservative",20,0.635114908218384,0.635114908218384
"GW55008L","홍의락","더불어민주당","liberal",20,-0.501348733901978,-0.501348733901978
"C7Z8238W","황영철","자유한국당","conservative",20,0.136272475123405,0.136272475123405
"23D73143","경대수","미래통합당","conservative",20,0.425696849822998,0.425696849822998
"GDG1847Z","권성동","국민의힘","conservative",20,0.78983461856842,0.78983461856842
"CI15627C","김두관","더불어민주당","liberal",20,-0.455264389514923,-0.455264389514923
"SNJ6318D","김무성","미래통합당","conservative",20,0.735630691051483,0.735630691051483
"ZL32287Z","김삼화","민생당","liberal_minor",20,0.0504592508077621,0.0504592508077621
"UGH6481E","김상희","더불어민주당","liberal",20,-0.491442829370499,-0.491442829370499
"ZYP7962W","김석기","국민의힘","conservative",20,0.335840106010437,0.335840106010437
"PLR62452","김영우","미래통합당","conservative",20,0.292557895183563,0.292557895183563
"E1J8836Y","김정재","국민의힘","conservative",20,0.422461837530136,0.422461837530136
"Q9H5708M","김진표","무소속","independent",20,-0.187813445925713,-0.187813445925713
"IYD4143Y","문희상","무소속","independent",20,-0.158716291189194,-0.158716291189194
"O6D8329R","민홍철","더불어민주당","liberal",20,-0.32905501127243,-0.32905501127243
"OTE19384","박명재","미래통합당","conservative",20,0.810204744338989,0.810204744338989
"7R156073","박범계","더불어민주당","liberal",20,-0.326115608215332,-0.326115608215332
"D0C85236","박완수","국민의힘","conservative",20,0.58014565706253,0.58014565706253
"PEP6922S","박용진","더불어민주당","liberal",20,-0.447745501995087,-0.447745501995087
"OW53107J","설훈","새로운미래","centrist",20,-0.465339750051498,-0.465339750051498
"MTK2954E","신용현","민생당","liberal_minor",20,0.067322701215744,0.067322701215744
"WYC63862","신창현","더불어민주당","liberal",20,-0.290523380041122,-0.290523380041122
"VXQ28579","심재권","더불어민주당","liberal",20,-0.273086369037628,-0.273086369037628
"QKY38290","여상규","미래한국당","conservative",20,0.500872373580933,0.500872373580933
"TZD17894","원유철","미래한국당","conservative",20,0.273738712072372,0.273738712072372
"I5V5327I","유민봉","미래통합당","conservative",20,0.40734338760376,0.40734338760376
"SEK1881Q","유재중","미래통합당","conservative",20,0.75285542011261,0.75285542011261
"JMY9959W","윤관석","무소속","independent",20,-0.257763057947159,-0.257763057947159
"OSV9142K","이만희","국민의힘","conservative",20,0.44276225566864,0.44276225566864
"6YT83269","이명수","국민의힘","conservative",20,0.250044763088226,0.250044763088226
"ZYH1940A","이상민","국민의힘","conservative",20,-0.366243600845337,-0.366243600845337
"8WV8289I","이완영","자유한국당","conservative",20,0.347176909446716,0.347176909446716
"ABT2266H","이용득","더불어민주당","liberal",20,-0.413740694522858,-0.413740694522858
"0582116P","이우현","자유한국당","conservative",20,0.437820583581924,0.437820583581924
"DVD2735W","이은권","미래통합당","conservative",20,0.729467213153839,0.729467213153839
"WDR7061Y","이종걸","더불어민주당","liberal",20,-0.416638314723969,-0.416638314723969
"HSW1214Q","이종배","국민의힘","conservative",20,0.44488850235939,0.44488850235939
"BWD92364","이찬열","미래통합당","conservative",20,-0.226841703057289,-0.226841703057289
"V2R7430Z","이춘석","무소속","independent",20,-0.386144608259201,-0.386144608259201
"WNN9272X","장석춘","미래한국당","conservative",20,0.469200700521469,0.469200700521469
"CZB4125D","장제원","국민의힘","conservative",20,0.22738941013813,0.22738941013813
"BM63269Y","전해철","더불어민주당","liberal",20,-0.223400950431824,-0.223400950431824
"V429892C","정성호","더불어민주당","liberal",20,-0.204609528183937,-0.204609528183937
"ZGA4092Y","정용기","미래통합당","conservative",20,0.370760083198547,0.370760083198547
"IWK63872","조배숙","국민의힘","conservative",20,-0.0592435412108898,-0.0592435412108898
"CDL93608","조응천","개혁신당","centrist",20,-0.229559883475304,-0.229559883475304
"5HG31863","지상욱","미래통합당","conservative",20,0.24189493060112,0.24189493060112
"IDV9108J","진영","더불어민주당","liberal",20,-0.257526904344559,-0.257526904344559
"LPB30152","최인호","더불어민주당","liberal",20,-0.185015171766281,-0.185015171766281
"GD131760","홍문표","국민의힘","conservative",20,0.278932869434357,0.278932869434357
"R365233W","홍철호","미래통합당","conservative",20,0.276387363672256,0.276387363672256
"JOY4394O","황주홍","민생당","liberal_minor",20,-0.158780828118324,-0.158780828118324
"8I61593E","강석호","미래통합당","conservative",20,0.647408425807953,0.647408425807953
"QZR19240","금태섭","더불어민주당","liberal",20,-0.238277614116669,-0.238277614116669
"MGE7194M","김광림","미래통합당","conservative",20,0.643961071968079,0.643961071968079
"UIZ3103R","김부겸","더불어민주당","liberal",20,-0.334854632616043,-0.334854632616043
"2WQ6656P","김세연","미래통합당","conservative",20,0.214328691363335,0.214328691363335
"TWL5801D","김영춘","더불어민주당","liberal",20,-0.420909523963928,-0.420909523963928
"AMF4093D","김용태","미래통합당","conservative",20,0.796136677265167,0.796136677265167
"M3Z17237","김재경","미래통합당","conservative",20,0.290430903434753,0.290430903434753
"M2Q9024I","김종민","무소속","independent",20,-0.345680415630341,-0.345680415630341
"9XB6464U","김현미","더불어민주당","liberal",20,-0.194269627332687,-0.194269627332687
"0827740Q","노웅래","더불어민주당","liberal",20,-0.349005609750748,-0.349005609750748
"J2O8643H","도종환","더불어민주당","liberal",20,-0.469417452812195,-0.469417452812195
"39P2522W","민병두","무소속","independent",20,-0.407072365283966,-0.407072365283966
"K3W33496","박광온","더불어민주당","liberal",20,-0.334389626979828,-0.334389626979828
"W4X85128","박대출","국민의힘","conservative",20,0.926253020763397,0.926253020763397
"N4R2421C","박덕흠","국민의힘","conservative",20,0.406014800071716,0.406014800071716
"BLC8630L","박병석","더불어민주당","liberal",20,-0.196231976151466,-0.196231976151466
"8T51904N","박찬우","자유한국당","conservative",20,0.518487811088562,0.518487811088562
"O0G3169T","백승주","미래한국당","conservative",20,0.468869507312775,0.468869507312775
"4Y54669I","서청원","우리공화당","independent",20,0.182221040129662,0.182221040129662
"A8O42480","손금주","더불어민주당","liberal",20,-0.11752538383007,-0.11752538383007
"7BV5480O","송기석","국민의당","independent",20,0.00497114099562168,0.00497114099562168
"BN49469V","신경민","더불어민주당","liberal",20,-0.404996603727341,-0.404996603727341
"8FB1535Y","어기구","더불어민주당","liberal",20,-0.275308310985565,-0.275308310985565
"H337332S","오신환","미래통합당","conservative",20,0.226854920387268,0.226854920387268
"SVH30067","오제세","더불어민주당","liberal",20,-0.239071726799011,-0.239071726799011
"V0O5343U","우상호","더불어민주당","liberal",20,-0.375043272972107,-0.375043272972107
"LDY9563L","윤상직","미래통합당","conservative",20,0.703400194644928,0.703400194644928
"ZRF3039U","윤재옥","국민의힘","conservative",20,0.396811425685883,0.396811425685883
"JWW6081H","이상돈","민생당","liberal_minor",20,-0.126611605286598,-0.126611605286598
"S9U45255","이양수","국민의힘","conservative",20,0.409765839576721,0.409765839576721
"IQN7588X","이은재","무소속","independent",20,0.466348379850388,0.466348379850388
"IUE5875N","이정미","정의당","progressive",20,-0.893274009227753,-0.893274009227753
"NS06841K","이철우","자유한국당","conservative",20,0.234078645706177,0.234078645706177
"BTP28870","이훈","더불어민주당","liberal",20,-0.567756116390228,-0.567756116390228
"25G2571T","전현희","더불어민주당","liberal",20,-0.236187845468521,-0.236187845468521
"N9X9673B","전혜숙","무소속","independent",20,-0.311714380979538,-0.311714380979538
"CYD5815E","정갑윤","미래통합당","conservative",20,0.52832442522049,0.52832442522049
"P303213F","정병국","미래통합당","conservative",20,0.328343212604523,0.328343212604523
"VHK3402G","정우택","국민의힘","conservative",20,0.511342227458954,0.511342227458954
"NZF1659U","정운천","국민의힘","conservative",20,0.216875866055489,0.216875866055489
"9S468336","정재호","더불어민주당","liberal",20,-0.400346845388412,-0.400346845388412
"CJX51868","정종섭","미래통합당","conservative",20,0.681643545627594,0.681643545627594
"NQR1206Q","정진석","국민의힘","conservative",20,0.549959242343903,0.549959242343903
"MD083627","정춘숙","더불어민주당","liberal",20,-0.405607402324677,-0.405607402324677
