"member_id","member_name","party","party_bloc","term","wnom_1d","wnom_2d"
"66W6739S","허은아","국민의힘","conservative",21,0.562348484992981,0.303667783737183
"VCP96419","허종식","더불어민주당","liberal",21,-0.383945822715759,-0.0262282975018024
"5MD4184K","홍기원","더불어민주당","liberal",21,-0.331740647554398,-0.191500395536423
"EMC8812P","홍석준","국민의힘","conservative",21,0.631309151649475,-0.00834214501082897
"2N793392","홍성국","더불어민주당","liberal",21,-0.314017981290817,-0.208360746502876
"KR14136C","홍영표","새로운미래","centrist",21,-0.489649564027786,-0.140772953629494
"FRN1867O","홍익표","더불어민주당","liberal",21,-0.502359688282013,-0.036844577640295
"XA42275R","홍정민","더불어민주당","liberal",21,-0.327357798814774,-0.328949511051178
"NAL4555X","홍준표","국민의힘","conservative",21,0.558806359767914,0.392237693071365
"0YT3774N","황운하","조국혁신당","rebuilding",21,-0.493037074804306,-0.0459828078746796
"5K93695T","김승수","국민의힘","conservative",21,0.650551974773407,0.169913232326508
"NCP9875N","류호정","정의당","progressive",21,-0.838411808013916,0.545037269592285
"6U243644","박형수","국민의힘","conservative",21,0.366938531398773,0.114803217351437
"4X525582","배현진","국민의힘","conservative",21,0.596266090869904,-0.0865751132369041
"40E3739H","윤창현","국민의힘","conservative",21,0.371899247169495,0.104309432208538
"AE685067","이규민","더불어민주당","liberal",21,-0.43872481584549,-0.33095383644104
"0767470D","이낙연","더불어민주당","liberal",21,-0.694415509700775,-0.271021664142609
"ZYH1940A","이상민","국민의힘","conservative",21,-0.510120511054993,0.0991875380277634
"5UN9725L","이용","국민의힘","conservative",21,0.367036044597626,0.202767595648766
"UM51067K","인재근","더불어민주당","liberal",21,-0.404544711112976,-0.063403844833374
"FH777496","임호선","더불어민주당","liberal",21,-0.455442577600479,-0.183135211467743
"3C23171A","진성준","더불어민주당","liberal",21,-0.591171681880951,0.0583019144833088
"H5476989","한병도","더불어민주당","liberal",21,-0.346681475639343,-0.231079414486885
"BCQ55105","한준호","더불어민주당","liberal",21,-0.500317633152008,-0.167370975017548
"J9S37905","황보승희","자유통일당","independent",21,0.496863722801208,-0.153320327401161
"3BC6890E","김미애","국민의힘","conservative",21,0.725859463214874,-0.139787763357162
"6AR6743G","김희국","국민의힘","conservative",21,0.334142982959747,0.167967170476913
"8X15119P","윤한홍","국민의힘","conservative",21,0.799606919288635,0.503997325897217
"Z6R3959C","조해진","국민의힘","conservative",21,0.365206748247147,0.215684026479721
"FGI27280","하영제","무소속","independent",21,0.450981140136719,0.325141936540604
"6V37131U","고용진","더불어민주당","liberal",21,-0.390716046094894,-0.131518989801407
"LG63087O","권영세","국민의힘","conservative",21,0.260438650846481,-0.00786719191819429
"YKW37422","권은희","국민의힘","conservative",21,0.114016160368919,0.0798365920782089
"LH97552Q","김도읍","국민의힘","conservative",21,0.402477115392685,0.124073356389999
"KB04377U","김병욱","국민의힘","conservative",21,0.18462561070919,0.232500150799751
"D0C85236","박완수","국민의힘","conservative",21,0.400739938020706,0.0512051917612553
"MO52543L","변재일","더불어민주당","liberal",21,-0.34125417470932,-0.40242063999176
"CT85313K","서병수","국민의힘","conservative",21,0.491327702999115,-0.009599301032722
"7XY7109I","성일종","국민의힘","conservative",21,0.475579679012299,0.145443886518478
"IUL4848V","윤희숙","국민의힘","conservative",21,0.650270283222198,0.366804897785187
"DBA1057Z","이용호","국민의힘","conservative",21,0.255804479122162,0.00489428639411926
"QTW6852F","이태규","국민의힘","conservative",21,0.41136422753334,0.376574635505676
"LJK4960Z","정점식","국민의힘","conservative",21,0.525525152683258,0.104216575622559
"YLS4431M","조수진","국민의힘","conservative",21,0.526083409786224,0.0532305687665939
"Y7K5946R","지성호","국민의힘","conservative",21,0.493844211101532,0.258315414190292
"8VJ8533R","최연숙","국민의힘","conservative",21,0.452373564243317,-0.103931568562984
"GD131760","홍문표","국민의힘","conservative",21,0.228967294096947,0.135415136814117
"KNM3215T","윤미향","무소속","independent",21,-0.788084089756012,-0.0671450793743134
"TVF3669B","김태흠","국민의힘","conservative",21,0.822566866874695,0.118678949773312
